0,000068
0,000000
0,000784
0,000818
0,000613
0,000579
0,000170
-0,000647
-0,000375
0,000852
0,000238
0,000647
0,000988
-0,000034
0,000749
0,000681
-0,000307
0,000136
-0,000204
-0,000749
-0,000579
-0,000238
-0,000681
-0,000613
-0,000204
-0,000715
-0,000613
-0,000818
-0,000545
-0,000784
-0,000749
-0,000409
-0,000647
0,000409
0,000477
0,000443
0,001295
0,001329
0,000784
0,001226
0,000749
0,001056
0,000818
-0,000511
0,000375
-0,000204
-0,001669
-0,001056
-0,001158
-0,001806
-0,000681
-0,000341
-0,000647
-0,000068
-0,000920
-0,000375
-0,000954
-0,001840
-0,000341
-0,000954
-0,001295
-0,000443
-0,000409
-0,000273
-0,000068
-0,000170
-0,000273
0,000238
0,000920
0,000443
0,000034
0,000000
-0,001124
-0,001261
-0,001329
-0,000647
-0,000409
-0,000170
0,001465
0,001533
0,001908
0,001431
0,000886
0,000920
0,000204
-0,000136
-0,000613
-0,001431
-0,000784
-0,000886
-0,000818
0,000341
-0,000477
-0,000204
0,000409
0,000136
0,000784
0,000375
-0,000579
0,000136
0,000238
-0,000204
-0,000034
-0,000477
-0,000647
-0,000443
0,000170
-0,000273
0,000034
0,000579
0,000136
0,000307
0,000000
-0,000647
-0,000613
-0,000102
-0,000102
-0,000409
0,000749
0,000715
0,000818
0,000307
0,000375
0,001363
0,000579
0,000204
-0,000204
-0,000375
-0,000613
-0,000034
0,000170
0,000204
0,001056
0,000443
0,001124
0,001567
0,000920
0,000988
0,000579
0,000613
-0,000443
-0,000204
-0,000034
-0,000409
0,000273
0,000818
0,001124
0,000749
0,001942
0,002453
0,001737
0,001976
0,000613
0,000375
0,000443
0,000136
-0,000068
-0,000647
0,000204
-0,000068
0,000647
0,001192
0,000715
0,000818
0,000238
-0,000273
0,000136
0,000068
0,000409
0,000204
0,000545
-0,000034
-0,000136
0,000443
0,000409
0,000511
0,000034
0,000102
0,000443
0,000749
-0,000136
-0,000307
0,000784
-0,000102
0,000034
0,000068
-0,000749
-0,000102
0,000034
0,000681
0,000136
0,000375
0,001022
0,001261
0,001908
0,001397
0,001056
0,001465
0,001124
0,000784
0,001329
0,001056
0,000715
0,000579
-0,000204
0,000579
0,000273
-0,000307
0,000443
-0,000204
-0,000273
0,000341
0,001669
0,001363
0,000988
0,001772
0,000784
0,000818
0,000818
0,000102
0,000545
0,000000
0,000409
0,000511
0,000988
0,001874
0,001635
0,002419
0,002487
0,001567
0,002248
0,001295
0,000647
0,001022
0,000409
0,000273
0,001397
0,000954
-0,000034
0,001465
0,000068
0,000784
0,001397
-0,000545
0,000341
0,000613
0,000818
0,001772
0,001465
0,001295
0,001567
0,000988
0,001397
0,001567
0,000749
0,000954
0,000579
0,000477
0,000715
0,000068
0,000443
0,000988
0,000818
0,002010
0,001772
0,002214
0,002487
0,001772
0,002112
0,001635
0,001942
0,001908
0,002010
0,001942
0,003032
0,002828
0,001601
0,002657
0,001874
0,001703
0,001465
0,001056
0,001363
0,001635
0,001772
0,001737
0,001772
0,001226
0,001669
0,002657
0,001840
0,002180
0,003066
0,002351
0,003645
0,003100
0,003407
0,000852
-0,002283
0,000988
0,005894
0,010050
0,043403
0,026812
0,049126
0,127721
0,144789
0,202501
0,269921
0,354001
0,427588
0,489013
0,623173
0,721936
0,792560
0,891187
0,897523
0,977311
1,000000
0,979525
0,959834
0,880455
0,841243
0,719109
0,599155
0,455354
0,269172
0,125916
-0,055974
-0,225497
-0,365380
-0,509965
-0,619187
-0,688209
-0,757606
-0,791912
-0,791606
-0,803598
-0,705720
-0,637856
-0,609137
-0,622287
-0,487582
-0,276905
-0,360747
-0,214561
-0,089258
-0,131605
-0,012741
0,062413
0,054850
0,167002
0,233605
0,251729
0,372977
0,409498
0,445167
0,513644
0,517358
0,479406
0,520764
0,424284
0,373079
0,302933
0,144823
0,056826
-0,080844
-0,236841
-0,337206
-0,495622
-0,624297
-0,694784
-0,812864
-0,853030
-0,853167
-0,859435
-0,816305
-0,758049
-0,692263
-0,565462
-0,481688
-0,383504
-0,246380
-0,177290
-0,070930
0,028685
0,038156
0,110755
0,119170
0,100807
0,116206
0,047321
0,022212
-0,030559
-0,115320
-0,139441
-0,206316
-0,276939
-0,297687
-0,340510
-0,377610
-0,387797
-0,388069
-0,411679
-0,419582
-0,407420
-0,405444
-0,397915
-0,375260
-0,338160
-0,299526
-0,270569
-0,246108
-0,202501
-0,183014
-0,153306
-0,111164
-0,101557
-0,073791
-0,033932
-0,032262
-0,012401
0,014854
0,019930
0,082990
0,111164
0,154022
0,218479
0,225871
0,263244
0,276224
0,255204
0,281164
0,256090
0,243519
0,271829
0,245733
0,229278
0,221885
0,184921
0,152012
0,132014
0,072156
0,050216
-0,011992
-0,089224
-0,112084
-0,199060
-0,248697
-0,275883
-0,343781
-0,370729
-0,392737
-0,451709
-0,486662
-0,502300
-0,541103
-0,579396
-0,574319
-0,590536
-0,608353
-0,582462
-0,593159
-0,604776
-0,575205
-0,544340
-0,501107
-0,438967
-0,363540
-0,305761
-0,211972
-0,114673
-0,059244
0,027459
0,115457
0,153374
0,208871
0,255749
0,285320
0,342180
0,346472
0,376486
0,391578
0,368071
0,390011
0,349811
0,317378
0,299526
0,221681
0,192621
0,136170
0,041154
0,004599
-0,044118
-0,128164
-0,152863
-0,184342
-0,244472
-0,242428
-0,252001
-0,273805
-0,285490
-0,277518
-0,266617
-0,269615
-0,252751
-0,203148
-0,165605
-0,148605
-0,119749
-0,108745
-0,093278
-0,080333
-0,068102
-0,087010
-0,081797
-0,066842
-0,108439
-0,083637
-0,084114
-0,121385
-0,077130
-0,081423
-0,091336
-0,029401
-0,025449
0,017715
0,058359
0,079208
0,144653
0,158791
0,202398
0,249515
0,268184
0,321705
0,357306
0,317514
0,399925
0,400198
0,380983
0,428576
0,386979
0,352264
0,395019
0,380813
0,249480
0,282526
0,267196
0,126120
0,161040
0,181889
-0,030048
0,086465
0,092733
0,010766
0,110619
0,156918
0,093585
0,175348
0,143052
0,113174
0,141996
0,071986
0,159950
0,078629
0,074268
0,161994
0,133342
0,120090
0,203386
0,177086
0,183320
0,205158
0,232515
0,255034
0,285354
0,306476
0,303206
0,294553
0,313835
0,292917
0,319627
0,326713
0,323136
0,392566
0,352468
0,385753
0,394985
0,371478
0,390965
0,381222
0,358055
0,318979
0,289306
0,264130
0,229483
0,158587
0,111403
0,072327
0,044118
0,024767
0,016693
0,000409
-0,045140
-0,024291
-0,048479
-0,054781
-0,048070
-0,059789
-0,043880
-0,060062
-0,031751
-0,010697
-0,013423
0,025006
0,019759
0,052294
0,069737
0,075495
0,101557
0,120499
0,144040
0,151433
0,159132
0,168535
0,181685
0,163220
0,159916
0,143120
0,099819
0,112459
0,087248
0,060573
0,050284
-0,001772
0,012571
-0,010459
-0,046128
-0,036759
-0,055224
-0,062787
-0,047423
-0,024767
-0,015774
0,018056
0,016353
0,041052
0,077062
0,069805
0,093483
0,123156
0,120908
0,146765
0,163050
0,141451
0,160869
0,133036
0,140667
0,128641
0,096685
0,109018
0,063401
0,050216
0,037918
0,019419
0,005076
-0,007938
-0,009301
-0,027016
-0,019112
-0,025176
-0,027663
-0,018703
-0,035465
-0,008279
-0,007972
-0,017238
0,025687
0,024529
0,021906
0,053589
0,042381
0,051272
0,062515
0,058393
0,069192
0,065649
0,070896
0,068579
0,054816
0,050864
0,047525
0,043505
0,036998
0,029571
0,030184
0,014547
0,015194
0,012196
0,005723
0,002623
0,008585
0,002998
0,008279
0,023984
0,008960
0,028242
0,022076
0,011753
0,013798
-0,002725
-0,016625
-0,007052
-0,027868
-0,038258
-0,016659
-0,028413
-0,037645
-0,039008
-0,049603
-0,046299
-0,041427
-0,054850
-0,044561
-0,056008
-0,062924
-0,050523
-0,066399
-0,063469
-0,072838
-0,098286
-0,101318
-0,098491
-0,104146
-0,099377
-0,091745
-0,075461
-0,060846
-0,047695
-0,024836
-0,005178
0,020168
0,037986
0,059619
0,058836
0,067148
0,071986
0,084353
0,076551
0,059381
0,069090
0,050795
0,041461
0,029162
-0,001124
-0,014547
-0,059074
-0,085341
-0,097026
-0,169727
-0,167410
-0,180765
-0,238408
-0,217456
-0,245358
-0,262154
-0,231186
-0,258474
-0,261677
-0,227984
-0,258372
-0,230845
-0,194188
-0,217865
-0,158110
-0,149320
-0,149559
-0,094607
-0,093244
-0,080946
-0,053828
-0,058597
-0,060573
-0,057234
-0,064695
-0,068204
-0,090723
-0,112663
-0,133513
-0,149899
-0,178312
-0,213436
-0,222328
-0,259667
-0,283003
-0,279426
-0,298607
-0,297619
-0,287637
-0,292645
-0,271182
-0,277007
-0,254999
-0,214050
-0,215889
-0,188294
-0,172350
-0,152932
-0,133411
-0,129220
-0,119272
-0,117739
-0,124587
-0,101659
-0,104998
-0,095902
-0,088373
-0,075324
-0,067693
-0,056791
-0,033421
-0,017000
0,017034
0,021463
0,050864
0,072122
0,082274
0,109699
0,118080
0,128266
0,150206
0,141451
0,144210
0,142847
0,138623
0,121078
0,120976
0,107246
0,076721
0,075870
0,055156
0,034681
0,013832
0,006848
-0,013287
-0,027425
-0,042926
-0,051443
-0,066739
-0,074950
-0,077505
-0,094062
-0,093176
-0,103294
-0,105679
-0,099342
-0,104623
-0,106769
-0,094334
-0,100841
-0,094505
-0,085681
-0,083433
-0,071304
-0,065343
-0,053725
-0,039246
-0,031615
-0,015194
-0,001669
0,001567
0,020816
0,039451
0,035601
0,049569
0,058631
0,062617
0,079549
0,079379
0,094811
0,106701
0,120158
0,125200
0,133922
0,155078
0,166525
0,176336
0,193609
0,210302
0,222941
0,231765
0,242667
0,250911
0,250605
0,250264
0,232106
0,233366
0,218683
0,191701
0,175178
0,147924
0,116819
0,090928
0,066705
0,033727
0,000375
-0,019555
-0,044186
-0,069976
-0,086328
-0,102000
-0,109699
-0,125609
-0,134433
-0,143972
-0,142950
-0,147821
-0,161040
-0,155998
-0,163799
-0,170715
-0,172384
-0,180629
-0,185092
-0,168637
-0,167445
-0,153443
-0,134467
-0,118250
-0,087521
-0,063673
-0,026743
-0,003032
0,020236
0,074337
0,085954
0,106361
0,148196
0,147958
0,165298
0,166252
0,169182
0,166388
0,138044
0,123463
0,108371
0,079413
0,071339
0,045276
0,013729
0,007256
-0,016489
-0,036112
-0,029367
-0,041495
-0,037100
-0,019589
-0,025108
-0,007256
-0,002862
0,010050
0,019759
0,024767
0,037407
0,035363
0,037236
0,038020
0,039076
0,030389
0,021463
0,019896
0,012844
-0,000068
0,001840
-0,018874
-0,030252
-0,020782
-0,047218
-0,053248
-0,054202
-0,072838
-0,070487
-0,065070
-0,067148
-0,049399
-0,037611
-0,032092
-0,007836
0,002794
0,028719
0,057541
0,076619
0,106429
0,129697
0,158042
0,169080
0,185262
0,205328
0,194052
0,203829
0,195960
0,170749
0,165809
0,142336
0,111232
0,091745
0,063809
0,029810
0,000988
-0,028004
-0,067148
-0,097435
-0,106906
-0,135182
-0,147447
-0,145164
-0,165230
-0,167751
-0,150683
-0,138861
-0,117330
-0,104214
-0,075836
-0,039792
